price,bedrooms,baths,area
1149900,4.0,3.5,2250
350000,3.0,2.0,1590
499900,2.0,2.0,808
3995000,6.0,4.5,4300
749900,2.0,2.0,1158
794590,4.0,4.5,2907
685000,2.0,1.5,690
1175000,4.0,3.5,2586
1198000,3.0,1.5,1358
799999,4.0,3.0,1794
1150000,3.0,3.5,3030
1650000,4.0,3.0,3270
1499900,2.0,2.0,1756
625000,3.0,3.0,1379
450000,4.0,2.0,1024
799000,5.0,4.5,2590
1725000,4.0,3.0,1467
1125000,2.0,2.5,1541
6500000,4.0,4.5,5709
449000,3.0,2.0,1702
948000,2.0,2.5,1292
1995000,4.0,3.5,3316
550000,3.0,3.0,1620
1699000,6.0,3.5,3160
669000,3.0,2.5,1903
1249000,3.0,2.0,1878
629000,2.0,2.5,1068
797000,2.0,2.5,1139
799000,4.0,3.5,1600
459000,2.0,2.0,1080
392500,2.0,2.0,780
1200000,2.0,2.0,1223
850000,5.0,2.5,2478
1547500,5.0,4.5,3576
340000,3.0,3.0,1296
1100000,8.0,4.0,2582
579000,4.0,2.0,1440
440000,3.0,2.5,1422
459950,2.0,2.5,1412
5880000,4.0,4.5,3700
622000,4.0,2.5,2106
985000,4.0,3.5,2073
775000,3.0,1.5,1400
899900,4.0,3.5,1905
550000,3.0,2.0,1656
1449000,4.0,3.5,2235
515000,3.0,2.5,1802
399000,3.0,1.5,900
345000,3.0,2.0,1340
340000,3.0,2.5,1354
925000,3.0,2.5,1674
725000,4.0,3.5,1594
535000,5.0,2.0,1722
689000,3.0,2.5,1303
860000,3.0,2.0,1632
3950000,8.0,5.5,4450
1249900,2.0,2.0,1224
595000,2.0,2.0,902
699000,5.0,3.0,2569
329000,3.0,2.0,1744
1600000,4.0,4.0,3465
700000,6.0,3.0,1822
799999,3.0,2.5,2330
699000,2.0,1.5,1080
399900,2.0,2.0,812
1550000,5.0,3.5,2580
1199900,3.0,2.5,2194
1145000,4.0,3.5,1881
515000,4.0,3.0,1700
1395000,5.0,3.5,3300
899900,6.0,3.0,2904
624900,3.0,2.0,1000
1500000,3.0,1.5,1925
425000,2.0,1.5,1120
450000,3.0,3.5,1891
549000,2.0,2.0,886
620000,2.0,1.5,823
1575000,4.0,3.5,1810
395000,2.0,2.0,764
489900,2.0,2.5,980
550000,3.0,2.5,1198
470000,4.0,2.5,1793
1299900,5.0,3.5,2875
699900,4.0,2.5,1728
1249000,5.0,4.0,2325
1695000,5.0,4.5,3570
649000,4.0,3.5,2150
758500,2.0,2.0,983
1299000,5.0,5.0,3269
450000,2.0,2.0,1144
995000,3.0,2.0,1781
1075000,2.0,2.5,1701
599900,3.0,2.5,1460
949900,3.0,2.5,1610
2000000,3.0,3.5,2284
699000,3.0,2.5,2023
999000,3.0,3.5,1766
465000,3.0,2.0,1008
690000,2.0,2.0,833
550000,3.0,2.0,1745
449999,3.0,2.0,976
998900,4.0,2.0,1693
530000,3.0,3.5,1283
390000,3.0,2.0,1640
975000,4.0,3.5,1850
749900,4.0,3.5,2052
699999,3.0,2.0,2212
379900,3.0,2.5,1244
660000,2.0,1.5,1188
1125000,2.0,2.5,1060
389900,2.0,2.0,736
740000,3.0,3.0,1686
1249500,4.0,3.5,2443
535000,3.0,2.0,2003
600000,3.0,2.0,1395
249900,2.0,2.0,850
490000,3.0,1.5,1504
475000,3.0,1.5,1480
469900,2.0,2.0,801
2850000,4.0,5.0,3500
446000,2.0,2.0,894
2299000,5.0,4.5,3317
595000,2.0,2.0,957
700000,2.0,2.0,1059
714999,3.0,2.0,1224
580000,3.0,2.5,2712
475000,4.0,2.5,1445
1290000,6.0,5.0,4288
549900,2.0,2.0,1005
1115000,3.0,2.5,1806
600000,3.0,3.0,1780
650000,5.0,2.5,1901
425000,2.0,2.5,1379
890000,3.0,3.5,1578
999950,6.0,3.0,3066
780000,2.0,2.0,1100
680000,3.0,1.5,1425
460000,2.0,2.0,1083
2499900,2.0,2.5,1914
795000,3.0,1.5,2232
810000,2.0,2.5,980
979000,3.0,3.5,2324
485000,4.0,3.0,1710
1250000,3.0,3.5,1558
1100000,3.0,3.5,2122
489000,5.0,2.5,1536
365000,2.0,2.0,1094
2499000,6.0,5.5,3433
698000,3.0,2.0,1842
879900,4.0,3.5,2268
610000,2.0,2.0,796
535000,2.0,2.0,974
534000,2.0,2.0,974
695000,2.0,2.0,1139
515000,2.0,2.0,887
549900,2.0,1.5,761
1195000,4.0,3.5,2284
784900,4.0,2.0,1856
749000,2.0,2.0,888
624900,2.0,2.0,975
769500,3.0,1.5,1336
484900,2.0,1.5,728
925000,4.0,3.5,1950
400000,3.0,2.0,1200
569900,2.0,1.5,862
569900,3.0,3.0,1235
699999,4.0,4.0,2433
695000,3.0,2.0,2350
3250000,3.0,3.0,2040
979000,4.0,3.5,2076
699900,2.0,2.0,1000
850000,10.0,6.0,3185
649500,3.0,2.0,1767
935970,3.0,1.5,1394
639000,14.0,6.0,2652
999999,4.0,3.0,2020
865000,4.0,2.5,2566
410000,3.0,3.5,1589
385000,3.0,2.5,1711
229000,2.0,2.0,1074
660000,4.0,2.5,2880
310000,2.0,2.0,1066
349500,3.0,2.0,1663
270000,2.0,2.0,1068
435000,4.0,3.0,2250
645000,2.0,2.0,1712
575000,4.0,4.0,3490
335000,3.0,2.5,1510
1600000,3.0,3.5,2508
550000,4.0,3.0,2074
824900,2.0,2.5,2334
370000,3.0,3.0,1870
419999,5.0,2.0,2358
725000,2.0,2.0,1712
365000,2.0,2.5,1677
320000,4.0,2.0,1242
560000,3.0,2.0,1392
1000000,2.0,2.5,2731
459000,4.0,2.5,2167
235000,2.0,2.0,912
561040,3.0,2.5,1914
664022,3.0,2.5,2337
369900,3.0,2.5,1590
1388000,4.0,3.5,3217
379995,4.0,3.0,1600
269000,3.0,2.0,1090
399990,3.0,2.5,1822
329000,2.0,2.0,1021
439990,4.0,2.5,1991
725000,3.0,3.5,3152
585000,3.0,2.5,2254
399900,3.0,2.0,1655
435000,2.0,2.0,1740
399900,4.0,2.5,1828
445000,3.0,2.5,1785
854900,5.0,3.0,3146
1410180,3.0,4.5,3366
359000,3.0,2.5,1457
399999,3.0,2.5,1722
500260,4.0,3.0,2089
294999,3.0,2.5,1396
280000,2.0,2.0,1148
379999,4.0,2.0,1624
439950,3.0,2.5,2036
365000,3.0,2.5,1642
390000,2.0,2.0,1104
469900,2.0,2.0,1519
275000,2.0,2.0,1053
540000,4.0,3.0,2595
380000,3.0,2.5,1643
560000,3.0,2.5,2494
325000,3.0,2.0,2022
1200000,2.0,3.0,2805
459900,3.0,2.5,2256
527500,3.0,2.5,2118
374990,3.0,2.5,1437
749000,3.0,2.5,2600
395000,3.0,2.0,1296
395000,2.0,2.0,1225
430000,4.0,3.0,1650
999999,3.0,2.0,2212
399995,4.0,2.0,1372
669500,3.0,2.0,2038
700000,3.0,3.0,2463
284395,2.0,2.5,1077
287000,2.0,2.5,1077
309999,2.0,2.0,1320
350000,3.0,2.0,1678
279995,4.0,2.0,1389
300000,3.0,2.0,1392
520000,3.0,2.5,2093
675000,4.0,3.5,2976
529000,4.0,3.0,2454
264900,2.0,2.0,1340
491927,3.0,2.5,1455
449000,5.0,3.0,1818
285000,2.0,2.0,1057
445000,3.0,2.0,1486
214900,3.0,2.0,1084
721000,4.0,3.5,2395
309500,3.0,2.0,1112
595000,4.0,2.5,2324
899000,3.0,2.5,2615
389995,3.0,2.5,1608
335000,3.0,3.0,1362
899000,2.0,2.5,2507
295000,3.0,2.0,1500
265000,2.0,2.0,1151
325500,3.0,2.5,1503
787282,4.0,3.0,2370
349995,3.0,2.0,1438
896000,5.0,4.5,3190
549900,2.0,2.0,1653
390000,3.0,2.0,1437
249999,3.0,1.5,1159
459000,4.0,2.5,1762
749999,4.0,2.5,2768
424999,4.0,3.0,2025
761028,4.0,3.5,2420
828000,3.0,2.5,2577
400000,4.0,2.0,1565
528800,3.0,2.5,1947
380000,2.0,2.0,1042
450000,2.0,2.5,1856
445000,3.0,2.5,1836
770000,2.0,2.5,1914
749900,4.0,3.0,2042
364998,3.0,2.0,1426
475000,4.0,2.0,1906
374900,3.0,2.0,1305
707000,3.0,2.5,2298
349900,4.0,3.0,1612
260000,2.0,2.0,1440
440000,4.0,2.5,2212
349999,2.0,2.0,1027
252900,2.0,2.0,1000
474900,4.0,2.5,2220
369000,4.0,2.0,1581
249000,2.0,2.0,1192
407999,3.0,2.0,1484
434990,4.0,2.5,1865
655000,4.0,3.5,3000
355000,3.0,2.5,1541
560000,4.0,3.0,2551
374999,3.0,2.0,1472
385000,4.0,2.0,1684
180000,3.0,2.0,1560
295000,2.0,2.0,1154
345000,3.0,2.5,1176
255000,3.0,2.0,1205
485000,4.0,3.0,2118
179900,2.0,2.0,1015
305000,3.0,2.0,1056
395000,3.0,2.5,1909
249990,2.0,2.0,1250
540000,4.0,2.0,2113
237000,2.0,2.0,1089
